"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity"
"146",8,0.5,0.778222222222222,6,375,247,345,211,0.690598768563786,0.382143740416481,0.348009009009009,0.639931740614334,0.41722972972973
"147",8,0.5,0.778222222222222,7,298,255,341,325,0.577970310362287,0.0882260182731367,0.105530156299266,0.478330658105939,0.427852348993289
"148",8,0.5,0.778222222222222,8,303,270,519,462,0.574993580026011,0.081899580641505,0.13601626322328,0.396078431372549,0.342205323193916
"149",8,0.5,0.778222222222222,9,450,226,308,72,0.806893681748389,0.760859829825347,0.509063670411985,0.862068965517241,0.423220973782772
"150",8,0.5,0.778222222222222,10,299,299,327,346,0.448875597493623,-0.026935021217078,-0.0303514376996807,0.463565891472868,0.477635782747604
"151",8,0.5,0.778222222222222,11,1163,665,1227,692,0.711444698346848,0.424773679366104,0.439385001608801,0.626954177897574,0.351479915433404
"152",8,0.5,0.778222222222222,12,603,325,475,175,0.71269440874036,0.621160871329996,0.47584991708126,0.775064267352185,0.40625
"153",8,0.5,0.778222222222222,13,306,234,304,146,0.623544264236602,0.428359338612017,0.357533347911655,0.676991150442478,0.434944237918216
"154",8,0.5,0.778222222222222,14,233,235,343,321,0.414294280039474,0.0235972676847943,0.0332952165971159,0.42057761732852,0.406574394463668
"155",8,0.5,0.778222222222222,15,204,167,250,213,0.587046909235202,0.148,0.181372549019608,0.489208633093525,0.400479616306954
"156",8,0.5,0.778222222222222,16,910,485,580,93,0.898999246392279,0.82974352803658,0.498060155806635,0.907278165503489,0.455399061032864
"157",8,0.5,0.778222222222222,17,305,175,299,150,0.66464274122502,0.477378808482487,0.449228747319637,0.67032967032967,0.369198312236287
"158",8,0.5,0.778222222222222,18,1582,954,1333,651,0.727184806508721,0.499817744404753,0.411204538155252,0.70846394984326,0.417140358548317
"159",8,0.5,0.778222222222222,19,411,274,521,358,0.685105217099721,0.289627579252663,0.355136268343816,0.53446033810143,0.344654088050314
"160",8,0.5,0.778222222222222,20,196,127,190,129,0.662970152875516,0.337765182186235,0.335688534088714,0.603076923076923,0.400630914826498
"161",9,0.5,0.889111111111111,1,260,150,250,141,0.6689463840399,0.437406483790524,0.421634615384615,0.648379052369077,0.375
