"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric","Kappa"
"154",16,3.875,0.002,4,1418,758,836,181,0.780912317375273,0.784169831024773,0.463767513223955,0.886804252657911,0.475533249686324,0.623968672124364,0.588496105875742
"155",16,3.875,0.002,5,1048,546,633,181,0.742720279145971,0.725693065297953,0.456912961560127,0.852725793327909,0.463104325699746,0.59130301342904,0.607909347119801
"156",16,3.875,0.002,6,1309,701,1237,561,0.739410357444413,0.529991915925626,0.483266991006929,0.7,0.36171310629515,0.506629453466278,0.662156844373653
"157",16,3.875,0.002,7,5622,2656,3720,708,0.853954588296158,0.808294348468634,0.530978629840557,0.888151658767772,0.416562107904642,0.669636489154596,0.528933383399888
"158",16,3.875,0.002,8,1860,886,1476,422,0.805931224819502,0.704069078377024,0.539789498602424,0.815074496056091,0.375105842506351,0.621929288489724,0.561541118254409
"159",16,3.875,0.002,9,1008,604,980,557,0.721807128795947,0.424732346612766,0.407981100689434,0.64408945686901,0.381313131313131,0.4163567236511,0.737270996103301
"160",16,3.875,0.002,10,869,478,824,403,0.746879498401105,0.49938747939183,0.462616599407126,0.683176100628931,0.367127496159754,0.481002039399478,0.684165938058336
"161",17,3.875,0.2515,1,467,248,592,322,0.747213169171344,0.420922823964649,0.501193025390028,0.591888466413181,0.295238095238095,0.461057924677338,0.702502598835177
"162",17,3.875,0.2515,2,1142,481,1209,570,0.774916357905215,0.53459451311426,0.573326148457497,0.667056074766355,0.284615384615385,0.553960330785878,0.617688672644708
"163",17,3.875,0.2515,3,1789,623,1454,288,0.845200164397699,0.801925722145805,0.65176076020123,0.861338468945595,0.299951853635051,0.726843241173517,0.438613384689456
"164",17,3.875,0.2515,4,1353,508,1086,246,0.860331072666966,0.774188978608868,0.62336032850462,0.846153846153846,0.318695106649937,0.698774653556744,0.472405677685506
"165",17,3.875,0.2515,5,788,415,764,441,0.74755812838037,0.446258397624596,0.451015658972802,0.641171684296176,0.351993214588634,0.448637028298699,0.710951194123235
"166",17,3.875,0.2515,6,1205,539,1399,665,0.768596408447984,0.507375398011567,0.568391934192327,0.644385026737968,0.2781217750258,0.537883666101947,0.633303276224827
"167",17,3.875,0.2515,7,5074,1753,4623,1256,0.872317386387738,0.726340616445214,0.657005737914499,0.801579778830964,0.274937264742785,0.691673177179857,0.473506602217589
"168",17,3.875,0.2515,8,1632,647,1715,650,0.815763168069366,0.607704356313704,0.616981392472315,0.715162138475022,0.273920406435224,0.612342874393009,0.558748444330983
"169",17,3.875,0.2515,9,863,448,1136,702,0.721187110723852,0.374539891103811,0.487107459297494,0.551437699680511,0.282828282828283,0.430823675200653,0.731128866118834
